Date,Author,Handle,URL,Summary,GitHub/Resource Link
2026-03-25,Avi Chawla,@_avichawla,https://x.com/_avichawla/status/2036911023706566768,"Plano: proxy layer for OpenClaw that filters every request/response before agent acts. Connect real inbox, calendar, APIs without risk. 100% local.",github.com/katanemo/plano
2026-03-25,MiniMax_Agent,@MiniMaxAgent,https://x.com/MiniMaxAgent/status/2036797532890865884,"Open-source agent skills for PDF, Excel, PPTX, DOCX under MIT license. Pre-built document handling skills.",github.com/MiniMax-AI/skills
2026-03-25,Ihtesham Ali,@ihtesham2005,https://x.com/ihtesham2005/status/2036760097175765063,"HolyClaude: single Docker container with Claude Code, browser-based web UI, 5 AI CLIs, headless Playwright browser, 50+ dev tools.",
2026-03-25,Atenov int.,@Atenov_D,https://x.com/Atenov_D/status/2036735789229342924,"OpenClaw uses 5% of potential out of box. Three extensions fix it: Skill Boss ($15, 100 models, 50 tools), plus two others.",
2026-03-25,Vox,@Voxyz_ai,https://x.com/Voxyz_ai/status/2036745128895734013,"Autonomous agent swarm that scans internet for problems, debates which to build, votes, and ships tools. 45 live tools built autonomously.",
2026-03-25,Aakash Gupta,@aakashgupta,https://x.com/aakashgupta/status/2036666385099870394,"Karpathy's autoresearch README contains vision of autonomous AI swarms on compute megastructures. Deep analysis of the philosophy.",
2026-03-24,Om Patel,@om_patel5,https://x.com/om_patel5/status/2036513690803945625,"Claude Code 'auto dream' feature: agents store preferences/corrections/patterns over time, then self-curate memory to stay effective.",
2026-03-24,Julian Goldie SEO,@JulianGoldieSEO,https://x.com/JulianGoldieSEO/status/2036427818847051915,"Claude Sonnet 4.6 vs Xiaomi MiMo V2 Pro comparison. MiMo wins coding, near Opus on agent benchmarks, 1M context, free via OpenClaw+KiloClaw.",
2026-03-24,Boris Cherny,@bcherny,https://x.com/bcherny/status/2036555259997462541,"Claude Code auto mode: AI makes permission decisions on your behalf with safeguards checking each action. No more manual approvals.",
2026-03-24,OliviscusAI,@oliviscusAI,https://x.com/oliviscusAI/status/2036395922016686548,"Dexter: Claude Code for finance. Finds undervalued stocks, detailed analysis, investment thesis. Open source.",
2026-03-23,Shiri,@shiri_shh,https://x.com/shiri_shh/status/2036061147200471058,"OpenClaw founder runs 4-10 AI coding agents in parallel. 500+ commits/day, 6600+ in January alone.",
2026-03-24,Roundtable Space,@RoundtableSpace,https://x.com/RoundtableSpace/status/2036439229748666843,"Open-source small model trained as personal agent router. Decides local vs cloud automatically, routes by complexity.",
2026-03-24,Tom Doerr,@tom_doerr,https://x.com/tom_doerr/status/2036437927534759958,"OpenClaw bot dashboard with pixel office visualization.",github.com/xmanrui/OpenClaw-bot-review
2026-03-24,Huang Chao,@huang_chao4969,https://x.com/huang_chao4969/status/2036493834495074704,"OpenSpace: self-evolving engine for agents. 46% fewer tokens through self-evolving skills and shared agent experiences.",
2026-03-24,Ziwen Xu,@ziwenxu_,https://x.com/ziwenxu_/status/2036278925194617296,"30+ days running OpenClaw. 1.5B tokens consumed. $14K API cost reduced to $50. Browser automation and multi-agent workflow lessons.",
2026-03-24,Tom Doerr,@tom_doerr,https://x.com/tom_doerr/status/2036348616340566075,"112 pre-built workflows for OpenClaw agents.",github.com/nikilster/clawflows
2026-03-24,Min Choi,@minchoi,https://x.com/minchoi/status/2036279719386100126,"Claude Code project setup guide that dramatically improves effectiveness.",
2026-03-24,Kevin Nguyen,@kevinnguyendn,https://x.com/kevinnguyendn/status/2036457783906934959,"(Visual/media bookmark - no text captured)",
2026-03-24,Alex Finn,@AlexFinn,https://x.com/AlexFinn/status/2036487976646221876,"Telegram threading for OpenClaw: reduces cost, keeps context clean, organizes conversations into topics.",
2026-03-23,Code Rams,@code_rams,https://x.com/code_rams/status/2036097565632938451,"Three missing pieces from context management: LCM (Lossless Context Management), cron-driven nightly memory distillation, automated context optimization.",
2026-03-23,Ihtesham Ali,@ihtesham2005,https://x.com/ihtesham2005/status/2036152262805119120,"Understand Anything: Claude Code plugin that turns codebase into interactive knowledge graph. Visual map of files, functions, classes, dependencies.",github.com/Lum1104/Understand-Anything
2026-03-22,Tech X Utkarsh,@techxutkarsh,https://x.com/techxutkarsh/status/2035701980849700877,"421-page Agentic Design Patterns doc from Google engineer. Code-backed chapters on prompt chaining, routing, memory, MCP, multi-agent coordination, guardrails.",
2026-03-23,Eng Khairallah,@eng_khairallah1,https://x.com/eng_khairallah1/status/2036156107412869236,"Composio Agent Orchestrator: open-source coordination layer for running 30+ AI coding agents across different issues in production.",
2026-03-23,Jesse Genet,@jessegenet,https://x.com/jessegenet/status/2036150814595752205,"thechildslibrary.com: free book resource built with OpenClaw agents. Filter by values. Example of agent-built consumer product.",
